"Is_Highlight","Object_Begin_Date","Tags","Dimensions","Is_Sculpture","area/volume"
"False",1700,"Deities|Buddhism","19.1 x 15.2",FALSE,290.32
"False",350,"Elephants","5.4 x 4 x 0.6",TRUE,12.96
"True",1455,"Women|Elephants","11.8 x 29.2",FALSE,344.56
"True",1367,"Buddhism|Buddha","19 x 11.2",FALSE,212.8
"False",1400,"Women","11.1 x 27",FALSE,299.7
"False",1071,"Deities|Buddhism","5.4 x 56.2",FALSE,303.48
"False",1000,"Deities|Buddhism","5.7 x 53.8",FALSE,306.66
"False",1100,"Elephants|Buddhism|Buddha|Women|Men","5.7 x 32.9",FALSE,187.53
"False",1100,"Bodhisattvas|Buddhism","6.5 x 42",FALSE,273
"False",1100,"Bodhisattvas|Avalokiteshvara|Deities","5.3 x 44.3",FALSE,234.79
"False",1300,"Vishnu|Hinduism","4.7 x 33.2",FALSE,156.04
"True",1300,"Bodhisattvas|Deities|Buddhism|Avalokiteshvara","73 x 61",FALSE,4453
"True",1471,"Bodhisattvas|Buddhism|Avalokiteshvara|Buddha|Monks","102.6 x 79.4",FALSE,8146.44
"True",1340,"Animals|Men|Portraits","68.6 x 54.6",FALSE,3745.56
"True",1371,"Goddess|Deities","74.9 x 83.8",FALSE,6276.62
"False",1500,"Deities|Buddhism","54.0 x 45.6",FALSE,2462.4
"False",1371,"Bodhisattvas|Buddhism|Manjushri","83.9 x 74",FALSE,6208.6
"False",1571,"Buddhism|Gods","170 x 111",FALSE,18870
"False",1571,"Elephants|Musical Instruments|Animals|Goddess|Horses","170.2 x 112",FALSE,19062.4
"False",1700,"Buddhism|Men|Skulls|Deities","184.2 x 118.4",FALSE,21809.28
"False",1700,"Bodhisattvas|Skulls|Buddha","121 x 185.7",FALSE,22469.7
"False",1300,"Bodhisattvas|Avalokiteshvara|Vajrapani","64.4 x 14.9",FALSE,959.56
"False",1667,"Birds|Houses|Women|Cows|Landscapes|Demons","29.4 x 18.6",FALSE,546.84
"False",1510,"Horses|Musical Instruments|Men|Women|Krishna","16.4 x 23.2",FALSE,380.48
"True",1000,"Bodhisattvas|Buddhism|Buddha","138.4 x 106.1",FALSE,14684.24
"False",1660,"Krishna|Radha|Beds","31.4 x 17.8",FALSE,558.92
"False",1500,"Elephants|Deities|Buddhism","78.7 x 66.7",FALSE,5249.29
"False",1571,"Buddha|Deities|Portraits|Buddhism","77.8 x 66.5",FALSE,5173.7
"False",1600,"Buddhism","23.8 x 16.5",FALSE,392.7
"False",1600,"Manjushri","42.5 x 27.9",FALSE,1185.75
"False",1800,"Buddha|Bodhisattvas","99.1 x 73.7",FALSE,7303.67
"False",1800,"Camels|Elephants|Horses|Monks|Buddhism|Buddha","99.1 x 73.7",FALSE,7303.67
"False",1800,"Horses|Monks|Carts|Clouds|Buddhism|Buddha","99.1 x 73.7",FALSE,7303.67
"False",1800,"Buddha|Boats|Monks|Men","99.1 x 73.7",FALSE,7303.67
"False",1800,"Peonies|Buddhism|Buddha","84.1 x 53",FALSE,4457.3
"False",1771,"Monks|Men|Buddhism|Buddha","110 x 81.9",FALSE,9009
"False",1667,"Men|Buddhism","71.1 x 42.2",FALSE,3000.42
"False",1700,"Men|Horses|Deities|Buddhism","104.5 x 58.7",FALSE,6134.15
"False",1700,"Horses|Deities|Animals","64.5 x 38.7",FALSE,2496.15
"False",1700,"Dogs|Buddha|Gods","86.2 x 51.4",FALSE,4430.68
"False",1100,"Men|Women","5.5 x 32.4",FALSE,178.2
"False",1480,"Women","11.4 x 29.2",FALSE,332.88
"False",1480,"Men|Women|Dancers","11.4 x 29.2",FALSE,332.88
"False",1461,"Women","11.1 x 25.7",FALSE,285.27
"False",1461,"Men","11.1 x 25.7",FALSE,285.27
"False",1500,"Bow and Arrow|Men|Elephants|Horses","11.5 x 28.6",FALSE,328.9
"False",1510,"Men|Donkeys|Elephants|Krishna","17.1 x 22.9",FALSE,391.59
"False",1510,"Krishna|Cows|Men","18.1 x 23.5",FALSE,425.35
"False",1510,"Wagons|Ducks|Men","17.8 x 23.8",FALSE,423.64
"False",1530,"Elephants|Battles|Army|Krishna|Horses","20.3 x 23",FALSE,466.9
"False",1530,"Men|Krishna|Death|Women","17.1 x 23",FALSE,393.3
"False",1595,"Couples|Men|Women|Beds","21 x 15.6",FALSE,327.6
"False",1605,"Men|Women","16.5 x 12.1",FALSE,199.65
"False",1600,"Men|Women|Beds","21.9 x 18.7",FALSE,409.53
"True",1670,"Mirrors|Women","22.2 x 16.2",FALSE,359.64
"False",1605,"Men|Women|Rivers","13 x 13",FALSE,169
"False",1920,"Fountains|Peacocks|Krishna|Radha|Women","26.7 x 39.7",FALSE,1059.99
"False",1630,"Women|Lotuses|Trees","26.8 x 20.5",FALSE,549.4
"False",1700,"Men|Women","23.2 x 19.1",FALSE,443.12
"False",1700,"Men|Women","34.9 x 24.8",FALSE,865.52
"False",1709,"Women","34.9 x 23.2",FALSE,809.68
"False",1600,"Swords|Men","16.8 x 24.8",FALSE,416.64
"False",1600,"Krishna|Men","17.1 x 25.1",FALSE,429.21
"False",1680,"Musical Instruments|Men|Moon|Trees","15.2 x 11.9",FALSE,180.88
"False",1680,"Women|Krishna|Hinduism|Death","22.5 x 31.1",FALSE,699.75
"False",1685,"Women","24.1 x 14.3",FALSE,344.63
"False",1715,"Women","14.4 x 5.7",FALSE,82.08
"False",1715,"Women|Lamps","14.3 x 6.7",FALSE,95.81
"False",1715,"Women|Fireworks","17 x 7.3",FALSE,124.1
"False",1710,"Women","13.8 x 9.5",FALSE,131.1
"False",1714,"Battles|Swords|Men|Death|Horses","15.2 x 12.1",FALSE,183.92
"False",1634,"Musical Instruments|Men","20.9 x 12.1",FALSE,252.89
"False",1690,"Men|Women|Couples","28.6 x 20",FALSE,572
"False",1790,"Musical Instruments|Women|Musicians","16 x 10",FALSE,160
"False",1750,"Cranes|Women|Lutes|Krishna","18.7 x 12.5",FALSE,233.75
"False",1750,"Lutes|Krishna|Couches|Women|Radha","20.2 x 12.4",FALSE,250.48
"False",1750,"Men|Smoking|Hookah","22.2 x 27.3",FALSE,606.06
"False",1790,"Krishna","69.2 x 47",FALSE,3252.4
